,TF,target,importance
451,ZNF800,ZNF331,2.5057771073529063
609,ZNF148,ETS2,2.503812941951259
877,GON4L,IRX3,2.503747290650161
1160,ZFHX4,ZBTB11,2.5034427461704163
786,ZNF766,ZNF302,2.502937236067709
1103,ZNF462,PMS1,2.502524046310103
81,TSC22D1,ZNF467,2.5021258342776536
1181,MYBL2,ZNF491,2.50184040602785
570,HOXA6,HMGB3,2.501808731243829
239,ZNF141,ZNF583,2.5006163350809723
79,ZNF511,ZNF700,2.500108264318399
446,ZNF17,DLX1,2.500103198584003
396,THAP5,SMARCC1,2.4999093150023612
936,ZHX2,AHCTF1,2.499726661162626
427,IRF7,ZNF549,2.4991514913694433
1028,ZNF543,THAP3,2.4989627067732454
763,YBX2,SUB1,2.4989294087179434
17,FOXD3,ZNF449,2.498150435179876
255,HOXC4,DEAF1,2.4961252873565725
770,NFATC1,ARNTL,2.496066760380067
702,ZNF333,ZNF639,2.495487443151533
697,NFE2L1,HIC1,2.4943700529366444
1136,NFKB1,MSX2,2.4940477116879802
803,ZNF202,RFX1,2.493665276845085
686,ZNF175,ZXDA,2.4936365434029866
974,ZNF398,ZNF385B,2.493266870001956
686,ZNF175,USF2,2.4932475569357657
841,CREB3L4,ZNF200,2.493166816538175
561,CIZ1,HOXA6,2.4926909751409756
661,E2F3,ZNF587B,2.4922033553311183
720,HIF1A,SMAD7,2.490865605944938
137,SUB1,ZFY,2.4899100192420294
312,ELF3,ZFP37,2.4898319716538126
684,ZNF473,ZNF197,2.489585904476931
33,SP100,ZNF367,2.488668658825442
347,ZNF174,MESP1,2.4885826865382916
823,CREB1,RFXANK,2.4879074272680226
94,FOXO1,GRHL2,2.486927614004019
159,DLX1,ZNF646,2.486431963008915
784,ZNF253,WDHD1,2.4861037450081507
1026,MECOM,MZF1,2.4854582091073825
65,FOXB2,YY2,2.485079378959475
148,ATF1,ZNF408,2.484663615755709
761,ZNF610,BAZ2B,2.483372314138286
311,GLI4,TUB,2.4827181991928757
901,ZNF776,ZSCAN5A,2.481738213116106
714,NFYA,TP73,2.480065628200433
656,ATF6B,ZNF263,2.477095111004509
1056,EHF,TAX1BP1,2.4743135793392814
944,ZBTB37,ZNF70,2.4729719081763464
670,ARID4A,ZNF558,2.472378337651727
564,MSX2,ZNF695,2.471622004783215
1074,ZNF45,RFX3,2.471306997212996
68,RORC,ATF6,2.4696776336089186
777,SMARCA1,FOXK1,2.4696268353138997
1,HES7,ZNF575,2.469621163220468
753,ZNF717,TFDP2,2.468996052948663
233,SIX3,VAX1,2.4683783488114863
853,MAX,ZSCAN32,2.468253259764461
559,NKX3-1,CPEB1,2.4670573365032147
823,CREB1,ZNF436,2.4668278755247566
904,ZBTB49,NFATC3,2.466336553382793
701,PLAG1,NFX1,2.465837206830602
1075,RCOR1,VDR,2.465110179867887
601,ZNF691,IRX2,2.4629517803914154
85,CREBRF,ZNF697,2.462689034535471
974,ZNF398,ZBTB8A,2.4622703912399393
1161,LHX4,TFAM,2.461510292679237
1038,ZNF718,ESRRA,2.4607450754088633
991,ZNF550,MXD1,2.460356497834558
589,BCL6,TFEB,2.460321901809515
971,ZNF407,TFAP2E,2.4598141291045676
20,ATF3,NKRF,2.4591310592152156
731,TFAP2A,PREB,2.458991040619213
655,MBD1,ZNF217,2.458908399363445
66,RUNX2,RFX6,2.457830185426856
300,PGR,ZNF532,2.4577714631707677
506,PATZ1,ZNF708,2.457555138160414
618,ZNF229,LYAR,2.4571990567728377
1036,CREB5,ZNF485,2.4563084284436667
297,ZBTB4,AFF4,2.4561548626276375
240,ZNF23,HOXA3,2.456145193100478
473,MBD3,TP53,2.4559994630104156
123,SIX2,GMEB1,2.4557666806705627
147,DNAJC2,ZNF239,2.4535813179489985
473,MBD3,CENPT,2.451968549410727
853,MAX,HOXC9,2.4514787213310094
468,MEF2D,ZNF583,2.4508540700128596
75,ELF5,DLX1,2.4503511449321835
957,ZNF264,SMARCC1,2.4501611196338153
624,FOXJ3,AHCTF1,2.4499821006054896
698,ZBED5,ZNF549,2.449418376691192
643,ZSCAN18,THAP3,2.4492333489084603
745,ZNF33A,NFRKB,2.44884922981244
956,ZNF264,ZNF614,2.448181389459297
373,ZHX1,ZNF345,2.448179221242602
332,MTA1,THAP5,2.448074197561618
720,HIF1A,SOX13,2.4480115583647777
723,ZFP91,JAZF1,2.4475561694879278
934,TSHZ3,DEAF1,2.4464523941381753
655,MBD1,POU5F1,2.446396726985896
347,ZNF302,ZNF696,2.4456550861873723
747,PHTF1,NR3C1,2.4451798103110134
908,ZNF418,PHTF1,2.445011469809896
86,ZNF74,ZBTB24,2.444530889320589
796,KIAA1549,ZXDA,2.4440131761892676
793,ZNF480,ZNF385B,2.4436508592889172
1142,TFCP2,SMAD7,2.441297380386632
735,MSX1,HSF1,2.4406910182495944
52,ZNF219,ZNF616,2.4404612295525916
436,ZNF337,ZNF234,2.439483838830966
442,IRX2,ZNF367,2.439144152514815
665,ZNF212,MESP1,2.43905989107618
144,TAX1BP1,FOXN2,2.439023637150736
1045,TP73,MTA3,2.438807590707364
739,ZNF317,ZNF18,2.438388072263343
764,YBX2,ZNF518B,2.437670002426062
1032,SMARCE1,ZNF2,2.435728517752262
140,ZNF267,YY2,2.4356262993181814
1024,PLAGL1,ZNF408,2.4352188098021688
603,AEBP2,ETS2,2.4347077393906766
1057,SON,TUB,2.4333121070289336
653,ZNF19,MSX2,2.4329692407278345
697,NFE2L1,KLF6,2.4324890693007446
463,ZNF140,ZSCAN5A,2.4323516226750956
552,ZNF672,ETV2,2.431516534124954
695,SMAD2,ZNF776,2.4311660982475334
911,ZNF852,GABPB2,2.430226899296305
1072,KLF8,ZHX1,2.4293841517425814
459,ZNF48,ZNF319,2.4276594002692313
149,ALX4,NFIX,2.4264654630024833
889,ELK4,ZNF182,2.4264025356882333
172,FOXG1,ZNF761,2.4252796312071436
598,USF1,FOXP1,2.4251626577600263
1120,TSC22D3,RFX7,2.4242962326299495
45,HIC1,ZFP37,2.4234633285589857
970,KLF9,ZNF302,2.421835358936585
271,ZSCAN31,ZNF574,2.4208952943034943
486,ZNF284,ATF6,2.4205310487001
598,USF1,ZNF575,2.4204757020723804
594,FOXO4,CUX1,2.4203463848391356
970,KLF9,ZNF101,2.4183773056584887
185,FOXN2,ZNF141,2.418319467456056
605,SOX13,TSHZ3,2.4182521024185544
349,ARID3A,CPEB1,2.4179628955068004
350,ARID3A,ZNF436,2.417738000801813
850,ZNF808,ZFY,2.4174292045261043
495,ZNF746,NFATC3,2.4172564559704734
